x,y,z
15.25038,7.54532,17.95187
15.25384,8.80923,16.87014
15.28102,7.297,44.31296
15.29341,29.99415,14.73473
15.29921,41.00481,12.57729
15.29983,23.53835,36.54447
15.30033,9.75594,12.91319
15.30662,37.70383,12.99431
15.31972,10.47282,40.27635
15.32423,29.38152,5.42977
15.32503,44.77956,9.32525
15.39051,32.44675,26.08431
15.40342,34.69506,15.13429
15.41099,22.17867,16.76252
15.44652,4.37085,5.87416
15.45685,38.50202,3.00301
15.46934,42.018,12.67011
15.5137,34.28875,48.06991
15.53699,31.26531,7.64306
15.56437,13.18099,45.05447
15.56799,37.06981,23.55568
15.58484,34.99553,11.50762
15.60803,23.52384,46.71784
15.64308,47.09727,13.73683
15.6616,41.97633,9.94148
15.66994,4.74636,44.69161
15.68532,39.70585,10.05408
15.71878,30.08224,20.92336
15.75753,9.76736,8.04675
15.80261,37.84296,12.9658
15.80886,33.27316,13.67094
15.85052,2.86189,9.82695
15.87077,14.62097,6.07001
15.88357,16.50816,27.3325
15.90148,36.05344,11.20589
15.90574,44.19027,20.72386
15.9082,1.27131,2.87228
15.9842,11.09041,8.61403
16.01389,13.08881,2.50317
16.01551,13.06284,12.9518
16.01551,13.06284,12.9518
16.02841,40.83463,45.28951
16.03674,24.61915,23.92926
16.04736,38.80986,11.75564
16.09744,29.61841,7.14449
16.10979,39.91276,4.07619
16.1142,4.06314,5.22834
16.13948,43.72109,11.71121
16.16341,11.35919,15.32033
16.16341,11.35919,15.32033
16.17579,44.00848,13.37209
16.19023,39.56565,30.60548
16.20818,39.40181,12.37319
16.21046,39.59991,8.1252
16.22021,40.07672,12.27628
16.22651,39.48927,11.99401
16.22771,12.12213,47.86565
16.2399,1.74545,9.44549
16.25165,10.67752,16.61257
16.25508,39.86191,15.78197
16.29758,35.76358,32.90149
16.29864,0.52219,9.13547
16.31181,33.55947,5.72326
16.32685,46.66819,16.20321
16.33462,42.36183,8.13714
16.35174,5.66941,16.10462
16.35177,30.83681,27.00411
16.37165,37.58985,14.00889
16.3811,37.45673,20.19849
16.39527,37.44522,16.68179
16.4161,32.76497,4.96536
16.42088,16.42714,3.16094
16.50826,41.74713,15.47013
16.52498,17.95408,24.28057
16.53161,22.54983,48.50986
16.53536,15.39565,2.46671
16.5453,8.00366,9.7077
16.56966,49.84564,47.87753
16.59033,42.035,11.97739
16.6142,19.56246,16.45552
16.63386,3.20319,9.18167
16.64397,10.90354,17.09556
16.67376,20.20907,35.39103
16.73744,11.18171,6.31765
16.75086,30.27016,1.70851
16.76128,9.10386,32.44502
16.80274,42.93184,8.14294
16.81783,19.4215,20.14547
16.83341,24.49438,31.52678
16.86645,39.16497,8.18933
16.87135,7.84075,40.18975
16.89003,28.61262,14.05179
16.91031,41.14038,10.86321
16.91985,26.1497,39.91995
16.92328,3.42721,39.69741
16.92378,14.10875,2.89066
16.93507,3.25735,11.56466
16.94305,16.22725,43.9568
16.94575,23.49338,0.29736
16.95105,1.39874,8.97372
16.9585,40.69251,14.20778
17.03562,14.38498,0.46631
17.05099,36.139,14.4705
17.05254,40.49776,12.49298
17.16726,7.8683,0.21463
17.17427,39.64337,16.99268
17.18188,20.37579,20.83374
17.22061,8.78026,7.50036
17.23643,16.13197,12.01616
17.26893,31.13532,5.12879
17.27538,1.91918,7.34004
17.29403,39.53209,13.96015
17.31174,40.5854,12.31054
17.31692,15.35454,11.11365
